x,y,condition
-31.510757,8.002176,TDAP Attack
27.451954,11.19481,TDAP Attack
16.797523,-10.431601,TDAP Attack
28.795288,10.257566,TDAP Attack
-19.564512,12.099041,TDAP Attack
13.066026,18.704494,TDAP Attack
26.33517,-3.9847558,TDAP Attack
7.828901,12.64536,TDAP Attack
-0.5469585,22.576157,TDAP Attack
30.235832,11.580902,TDAP Attack
5.1816297,21.52936,TDAP Attack
-23.846859,25.693537,TDAP Attack
-14.166409,4.0073533,TDAP Attack
-30.780807,15.431781,TDAP Attack
-11.33139,11.629198,TDAP Attack
-22.686134,17.49543,TDAP Attack
35.767452,13.468138,TDAP Attack
-23.4149,27.865696,TDAP Attack
33.677727,0.1851225,TDAP Attack
-5.821262,16.921448,TDAP Attack
-21.30685,25.57789,TDAP Attack
16.90516,25.268166,TDAP Attack
-6.56002,12.248543,TDAP Attack
14.953007,17.230564,TDAP Attack
31.242374,-3.956118,TDAP Attack
-31.724628,8.915654,TDAP Attack
30.6453,-4.5002713,TDAP Attack
7.078573,15.676817,TDAP Attack
-20.451963,27.135344,TDAP Attack
8.186087,11.521943,TDAP Attack
36.381207,15.645788,TDAP Attack
-32.51109,9.541324,TDAP Attack
-3.9287698,9.308817,TDAP Attack
10.084016,15.201074,TDAP Attack
-1.1975433,22.874786,TDAP Attack
6.289993,17.215546,TDAP Attack
27.102995,12.957654,TDAP Attack
4.8245583,17.338087,TDAP Attack
-6.783462,16.951113,TDAP Attack
9.580965,19.945503,TDAP Attack
3.6306891,23.856781,TDAP Attack
-14.943391,3.604699,TDAP Attack
-5.4638257,10.694243,TDAP Attack
22.979342,17.654856,TDAP Attack
16.04527,-9.954664,TDAP Attack
1.4296402,24.127625,TDAP Attack
-9.044443,5.3148427,TDAP Attack
-8.081614,8.011638,TDAP Attack
-8.79081,9.953826,TDAP Attack
-7.4691744,8.4925585,TDAP Attack
4.6356845,14.166118,TDAP Attack
-26.78184,7.50729,TDAP Attack
-31.279188,15.782895,TDAP Attack
-5.450413,8.300108,TDAP Attack
28.201355,17.558538,TDAP Attack
14.779579,25.41874,TDAP Attack
-2.906025,15.572105,TDAP Attack
40.223026,8.120271,TDAP Attack
26.188353,14.319202,TDAP Attack
34.036358,4.923474,TDAP Attack
32.775253,0.53750527,TDAP Attack
-30.564804,8.93139,TDAP Attack
32.46729,-2.209276,TDAP Attack
-31.415878,15.5208235,TDAP Attack
33.051285,15.300868,TDAP Attack
43.20278,4.9746933,TDAP Attack
-29.691774,10.183618,TDAP Attack
6.8097863,14.612219,TDAP Attack
40.718277,7.4396915,TDAP Attack
-26.483133,21.477621,TDAP Attack
28.612425,10.13057,TDAP Attack
4.118326,18.966936,TDAP Attack
-16.13165,4.131857,TDAP Attack
16.026142,25.018867,TDAP Attack
27.313532,12.94658,TDAP Attack
-26.71097,20.372341,TDAP Attack
-26.3616,21.211271,TDAP Attack
14.27821,21.655615,TDAP Attack
-22.86287,28.90669,TDAP Attack
-9.046458,9.54405,TDAP Attack
